date,rate_mom
10/09/2014,-0.5
03/05/2015,-0.5
03/18/2020,-0.5
04/09/2020,-0.5
05/29/2020,-0.4
10/07/2021,0.4
11/04/2021,0.75
12/09/2021,0.5
01/05/2022,0.5
02/09/2022,0.5
03/09/2022,0.75
04/07/2022,1
05/06/2022,0.75
06/09/2022,0.75
07/08/2022,0.5
09/08/2022,0.25
10/06/2022,0
11/10/2022,0
12/08/2022,0
01/04/2023,0
02/08/2023,0
03/08/2023,0
04/05/2023,0
05/10/2023,0
