,date,close_2Y,open_2Y,change_2Y,time,infringementdummy,ruleoflawdummy,budgetdummy,financialmarketsdummy,rate_mom,_merge,day_of_week
148,06/06/2014,2.507,2.641,0.050738379,149,0,0,,0,0.0,Master only (1),Friday
155,06/13/2014,2.539,2.5699999,0.012062218,156,0,0,,0,0.0,Master only (1),Friday
160,06/20/2014,2.599,2.599,0.0,161,0,0,,0,0.0,Master only (1),Friday
165,06/27/2014,2.5239999,2.5079999,-0.0063795983,166,0,0,,0,0.0,Master only (1),Friday
170,07/04/2014,2.506,2.516,0.0039745588,171,0,0,,0,0.0,Master only (1),Friday
175,07/11/2014,2.471,2.461,-0.0040633851,176,0,0,,0,0.0,Master only (1),Friday
181,07/18/2014,2.4849999,2.517,0.012713574,182,0,0,,0,0.0,Master only (1),Friday
187,07/25/2014,2.4170001,2.4170001,0.0,188,0,0,,0,0.0,Master only (1),Friday
193,08/01/2014,2.484,2.0669999,-0.2017417,194,0,0,,0,0.0,Master only (1),Friday
198,08/08/2014,2.382,2.421,0.01610906,199,0,0,,0,0.0,Master only (1),Friday
204,08/15/2014,2.323,2.368,0.01900341,205,0,0,,0,0.0,Master only (1),Friday
211,08/22/2014,2.313,2.3080001,-0.0021663241,212,0,0,,0,0.0,Master only (1),Friday
217,08/29/2014,2.2019999,2.2520001,0.02220257,218,0,0,,0,0.0,Master only (1),Friday
224,09/05/2014,2.105,2.168,0.029059025,225,0,0,,0,0.0,Master only (1),Friday
230,09/12/2014,2.063,2.0769999,0.006740462,231,0,0,,0,0.0,Master only (1),Friday
237,09/19/2014,2.016,2.0209999,0.0024739616,238,0,0,,0,0.0,Master only (1),Friday
244,09/26/2014,1.949,1.962,0.0066258977,245,0,0,,0,0.0,Master only (1),Friday
251,10/03/2014,1.997,1.973,-0.012164181,252,0,0,,0,0.0,Master only (1),Friday
