,dates,opening_values,closing_values
1,2021-01-04,2035.33,2036.48
2,2021-01-05,2036.49,2035.84
4,2021-01-07,2033.54,2035.27
5,2021-01-08,2036.63,2037.23
6,2021-01-11,2038.07,2037.46
7,2021-01-12,2037.55,2037.37
8,2021-01-13,2038.04,2038.76
9,2021-01-14,2039.42,2039.65
10,2021-01-15,2038.54,2038.61
11,2021-01-18,2042.27,2040.73
12,2021-01-19,2040.94,2041.31
13,2021-01-20,2042.19,2041.51
14,2021-01-21,2041.96,2039.28
15,2021-01-22,2039.62,2039.13
16,2021-01-25,2040.02,2040.41
17,2021-01-26,2041.06,2041.45
18,2021-01-27,2041.38,2041.89
19,2021-01-28,2041.9,2039.52
20,2021-01-29,2039.58,2040.32
21,2021-02-01,2040.37,2040.78
22,2021-02-02,2040.35,2039.83
23,2021-02-03,2038.28,2038.45
24,2021-02-04,2038.34,2037.78
25,2021-02-05,2037.45,2035.91
26,2021-02-08,2033.01,2034.83
27,2021-02-09,2036.86,2035.08
28,2021-02-10,2035.27,2033.72
29,2021-02-11,2035.3,2033.52
30,2021-02-12,2033.5,2030.17
31,2021-02-15,2029.15,2028.92
32,2021-02-16,2028.9,2025.4
33,2021-02-17,2027.67,2029.55
34,2021-02-18,2029.41,2027.18
35,2021-02-19,2028.03,2028.04
36,2021-02-22,2027.09,2030.74
37,2021-02-23,2030.39,2029.05
38,2021-02-24,2029.04,2025.13
39,2021-02-25,2023.77,2019.07
40,2021-02-26,2019.33,2016.19
41,2021-03-01,2017.5,2018.72
42,2021-03-02,2018.74,2018.44
43,2021-03-03,2018.36,2015.55
44,2021-03-04,2015.26,2014.35
45,2021-03-05,2012.1,2013.29
46,2021-03-08,2012.39,2012.68
47,2021-03-09,2014.45,2015.22
48,2021-03-10,2015.23,2016.38
49,2021-03-11,2019.13,2017.6
50,2021-03-12,2017.41,2014.0
51,2021-03-15,2015.99,2016.77
52,2021-03-16,2017.79,2017.69
53,2021-03-17,2017.31,2019.13
54,2021-03-18,2018.4,2016.35
55,2021-03-19,2018.73,2018.41
56,2021-03-22,2021.06,2020.35
57,2021-03-23,2022.93,2019.33
58,2021-03-24,2019.51,2018.9
59,2021-03-25,2019.3,2022.7
60,2021-03-26,2020.63,2021.4
61,2021-03-29,2022.27,2019.24
62,2021-03-30,2015.98,2013.68
63,2021-03-31,2014.17,2015.88
64,2021-04-01,2016.87,2014.26
67,2021-04-06,2014.37,2016.16
68,2021-04-07,2017.91,2017.15
69,2021-04-08,2017.13,2018.35
70,2021-04-09,2016.47,2017.41
71,2021-04-12,2018.73,2018.84
72,2021-04-13,2019.84,2021.71
73,2021-04-14,2022.67,2022.67
74,2021-04-15,2022.71,2024.6
75,2021-04-16,2023.4,2023.49
76,2021-04-19,2023.74,2021.51
77,2021-04-20,2020.42,2018.58
78,2021-04-21,2018.38,2018.38
79,2021-04-22,2018.79,2018.54
80,2021-04-23,2018.58,2019.29
81,2021-04-26,2019.62,2020.08
82,2021-04-27,2021.01,2021.49
83,2021-04-28,2021.31,2020.8
84,2021-04-29,2019.75,2019.54
85,2021-04-30,2013.37,2011.25
87,2021-05-04,2011.52,2014.07
88,2021-05-05,2013.92,2014.63
89,2021-05-06,2013.65,2013.51
90,2021-05-07,2013.32,2013.43
91,2021-05-10,2012.79,2011.11
92,2021-05-11,2006.71,2002.04
93,2021-05-12,2003.48,2000.18
94,2021-05-13,1998.16,1992.8
95,2021-05-14,1993.69,1993.49
96,2021-05-17,1988.18,1986.71
97,2021-05-18,1986.82,1989.26
98,2021-05-19,1987.11,1993.61
99,2021-05-20,1996.23,1994.88
100,2021-05-21,1997.02,1997.43
101,2021-05-24,1998.08,2000.13
102,2021-05-25,2002.12,2002.63
103,2021-05-26,2004.46,2002.31
104,2021-05-27,2002.54,1993.28
105,2021-05-28,1993.68,1994.23
106,2021-05-31,1993.28,1996.35
107,2021-06-01,1995.41,1995.41
108,2021-06-02,1994.98,1995.77
110,2021-06-04,1996.09,1996.71
111,2021-06-07,1996.66,1995.13
112,2021-06-08,1995.87,1994.52
113,2021-06-09,1993.43,1994.71
114,2021-06-10,1996.64,1999.8
115,2021-06-11,2001.87,2002.55
116,2021-06-14,2003.42,2002.95
117,2021-06-15,2002.67,2002.55
118,2021-06-16,2001.93,2002.34
119,2021-06-17,1997.87,1998.07
120,2021-06-18,1999.06,1998.58
121,2021-06-21,1999.82,1997.46
122,2021-06-22,1995.68,1994.5
123,2021-06-23,1994.55,1994.9
124,2021-06-24,1994.55,1994.36
125,2021-06-25,1994.53,1991.18
126,2021-06-28,1990.12,1990.35
127,2021-06-29,1991.69,1991.96
128,2021-06-30,1994.55,2001.97
129,2021-07-01,2001.92,2003.73
130,2021-07-02,2003.18,1999.74
131,2021-07-05,1997.33,1995.78
132,2021-07-06,1996.47,1999.46
133,2021-07-07,2001.04,2002.16
134,2021-07-08,2006.55,2002.19
135,2021-07-09,1999.71,2001.2
136,2021-07-12,2000.95,2002.17
137,2021-07-13,2001.77,2002.86
138,2021-07-14,2001.28,2003.05
139,2021-07-15,2005.22,2005.2
140,2021-07-16,2005.58,2005.52
141,2021-07-19,2007.49,2016.99
142,2021-07-20,2017.99,2018.02
143,2021-07-21,2016.3,2014.65
144,2021-07-22,2014.26,2014.32
145,2021-07-23,2015.1,2016.2
146,2021-07-26,2018.46,2016.28
147,2021-07-27,2019.26,2019.11
148,2021-07-28,2019.17,2017.16
149,2021-07-29,2018.44,2013.6
150,2021-07-30,2013.36,2013.59
151,2021-08-02,2015.08,2016.96
152,2021-08-03,2016.65,2016.67
153,2021-08-04,2015.79,2011.46
154,2021-08-05,2013.64,2011.42
155,2021-08-06,2009.56,2008.5
156,2021-08-09,2008.95,2008.82
157,2021-08-10,2006.77,2007.07
158,2021-08-11,2004.97,2006.87
159,2021-08-12,2009.86,2008.1
160,2021-08-13,2008.43,2008.74
161,2021-08-16,2010.34,2013.52
162,2021-08-17,2015.46,2013.83
163,2021-08-18,2013.96,2014.67
164,2021-08-19,2015.49,2015.09
165,2021-08-20,2016.09,2016.14
166,2021-08-23,2015.08,2014.19
167,2021-08-24,2013.65,2013.3
168,2021-08-25,2012.71,2011.75
169,2021-08-26,2010.46,2010.14
170,2021-08-27,2010.33,2011.06
171,2021-08-30,2011.43,2011.61
172,2021-08-31,2011.82,2008.37
173,2021-09-01,2005.51,2004.74
174,2021-09-02,2004.38,2001.53
175,2021-09-03,2000.26,2000.25
176,2021-09-06,2000.03,2000.13
177,2021-09-07,1998.69,1996.45
178,2021-09-08,1998.11,1996.17
179,2021-09-09,1999.36,2001.53
180,2021-09-10,1998.65,1999.96
181,2021-09-13,1997.27,1997.86
182,2021-09-14,1996.3,1997.17
183,2021-09-15,1998.72,1997.32
184,2021-09-16,1996.29,1995.11
185,2021-09-17,1995.98,1993.61
