,dates,opening_values,closing_values
0,2017-01-02,1672.77,1672.77
1,2017-01-03,1672.45,1671.02
2,2017-01-04,1671.51,1672.39
3,2017-01-05,1673.63,1673.28
5,2017-01-09,1671.25,1674.26
6,2017-01-10,1674.49,1680.48
7,2017-01-11,1682.51,1681.28
8,2017-01-12,1686.76,1681.73
9,2017-01-13,1682.34,1678.45
10,2017-01-16,1682.47,1680.52
11,2017-01-17,1682.37,1680.1
12,2017-01-18,1679.29,1680.49
13,2017-01-19,1678.3,1677.06
14,2017-01-20,1677.35,1674.97
15,2017-01-23,1675.99,1677.7
16,2017-01-24,1677.86,1677.68
17,2017-01-25,1676.12,1677.01
18,2017-01-26,1673.85,1672.46
19,2017-01-27,1673.15,1674.09
20,2017-01-30,1673.16,1675.08
21,2017-01-31,1674.83,1675.33
22,2017-02-01,1675.28,1674.68
23,2017-02-02,1677.51,1679.6
24,2017-02-03,1678.41,1681.0
25,2017-02-06,1682.09,1680.81
26,2017-02-07,1681.06,1678.9
27,2017-02-08,1679.88,1680.79
28,2017-02-09,1681.27,1680.95
29,2017-02-10,1679.46,1678.9
30,2017-02-13,1677.71,1676.59
31,2017-02-14,1677.37,1677.7
32,2017-02-15,1676.94,1676.47
33,2017-02-16,1676.47,1678.61
34,2017-02-17,1678.7,1678.46
35,2017-02-20,1677.73,1678.37
36,2017-02-21,1678.58,1676.71
37,2017-02-22,1676.53,1675.17
38,2017-02-23,1675.65,1679.51
39,2017-02-24,1681.05,1680.9
40,2017-02-27,1681.31,1681.04
41,2017-02-28,1681.1,1681.85
42,2017-03-01,1680.2,1680.44
43,2017-03-02,1680.76,1685.15
44,2017-03-03,1688.11,1687.31
45,2017-03-06,1688.06,1689.4
46,2017-03-07,1689.1,1689.13
47,2017-03-08,1688.82,1687.65
48,2017-03-09,1687.74,1689.21
49,2017-03-10,1687.09,1689.28
50,2017-03-13,1689.64,1689.86
51,2017-03-14,1689.28,1688.29
52,2017-03-15,1688.2,1688.17
53,2017-03-16,1690.84,1689.88
54,2017-03-17,1689.09,1689.29
55,2017-03-20,1689.8,1689.53
56,2017-03-21,1689.92,1691.39
57,2017-03-22,1693.88,1696.94
58,2017-03-23,1696.78,1698.4
59,2017-03-24,1697.38,1698.99
60,2017-03-27,1701.28,1700.79
61,2017-03-28,1700.1,1700.3
62,2017-03-29,1699.88,1699.77
63,2017-03-30,1701.22,1701.87
64,2017-03-31,1701.83,1704.2
65,2017-04-03,1704.95,1706.56
66,2017-04-04,1708.23,1705.78
67,2017-04-05,1705.96,1705.47
68,2017-04-06,1707.3,1705.91
69,2017-04-07,1705.46,1705.3
70,2017-04-10,1704.46,1704.44
71,2017-04-11,1705.43,1705.99
72,2017-04-12,1706.25,1706.41
73,2017-04-13,1707.39,1708.93
76,2017-04-18,1708.63,1711.08
77,2017-04-19,1711.7,1710.48
78,2017-04-20,1710.3,1708.88
79,2017-04-21,1709.39,1709.33
80,2017-04-24,1708.14,1710.42
81,2017-04-25,1710.55,1707.7
82,2017-04-26,1707.41,1707.9
83,2017-04-27,1709.28,1710.8
84,2017-04-28,1711.23,1709.72
86,2017-05-02,1709.27,1708.58
88,2017-05-04,1707.82,1707.81
89,2017-05-05,1708.53,1708.61
90,2017-05-08,1708.9,1709.8
91,2017-05-09,1708.72,1708.91
92,2017-05-10,1709.19,1712.1
93,2017-05-11,1712.51,1713.92
94,2017-05-12,1718.13,1717.81
95,2017-05-15,1718.41,1715.88
96,2017-05-16,1714.73,1715.69
97,2017-05-17,1717.68,1717.76
98,2017-05-18,1719.56,1717.21
99,2017-05-19,1717.54,1717.53
100,2017-05-22,1717.96,1717.71
101,2017-05-23,1718.29,1717.98
102,2017-05-24,1718.08,1718.8
103,2017-05-25,1719.65,1720.08
104,2017-05-26,1720.64,1723.31
105,2017-05-29,1723.62,1724.38
106,2017-05-30,1724.63,1723.68
107,2017-05-31,1723.42,1726.53
108,2017-06-01,1726.42,1726.15
109,2017-06-02,1726.57,1730.32
110,2017-06-05,1730.74,1728.82
111,2017-06-06,1730.45,1729.28
112,2017-06-07,1729.51,1728.52
113,2017-06-08,1727.79,1729.24
114,2017-06-09,1729.5,1730.69
115,2017-06-12,1731.15,1731.99
116,2017-06-13,1731.9,1731.46
117,2017-06-14,1731.09,1734.38
119,2017-06-16,1733.48,1733.82
120,2017-06-19,1733.75,1732.82
121,2017-06-20,1732.44,1732.37
122,2017-06-21,1733.08,1731.14
123,2017-06-22,1732.12,1731.68
124,2017-06-23,1731.64,1729.88
125,2017-06-26,1730.43,1732.7
126,2017-06-27,1733.13,1729.7
127,2017-06-28,1727.14,1729.0
128,2017-06-29,1725.65,1727.0
129,2017-06-30,1724.33,1728.79
130,2017-07-03,1729.25,1731.51
131,2017-07-04,1732.48,1731.54
132,2017-07-05,1731.69,1729.83
133,2017-07-06,1729.66,1725.41
134,2017-07-07,1724.39,1726.6
135,2017-07-10,1727.37,1729.43
136,2017-07-11,1728.06,1730.06
137,2017-07-12,1729.16,1729.86
138,2017-07-13,1730.47,1730.05
139,2017-07-14,1731.22,1732.18
140,2017-07-17,1732.66,1732.59
141,2017-07-18,1732.56,1735.08
142,2017-07-19,1735.15,1734.3
143,2017-07-20,1733.52,1734.5
144,2017-07-21,1735.31,1733.71
145,2017-07-24,1733.19,1735.35
146,2017-07-25,1735.45,1733.31
147,2017-07-26,1733.99,1732.75
148,2017-07-27,1735.01,1734.74
149,2017-07-28,1734.85,1733.06
150,2017-07-31,1732.77,1730.99
151,2017-08-01,1731.14,1730.59
152,2017-08-02,1731.71,1731.89
153,2017-08-03,1732.09,1733.7
154,2017-08-04,1733.92,1732.26
155,2017-08-07,1732.71,1732.59
156,2017-08-08,1732.54,1732.54
157,2017-08-09,1732.96,1731.78
158,2017-08-10,1731.38,1730.59
159,2017-08-11,1730.18,1729.12
160,2017-08-14,1729.42,1730.71
162,2017-08-16,1729.96,1730.88
163,2017-08-17,1732.11,1733.38
164,2017-08-18,1734.51,1736.2
165,2017-08-21,1736.41,1737.88
166,2017-08-22,1738.25,1736.69
167,2017-08-23,1736.87,1737.73
168,2017-08-24,1738.57,1739.76
169,2017-08-25,1739.14,1739.4
170,2017-08-28,1739.81,1740.02
171,2017-08-29,1740.77,1741.6
172,2017-08-30,1741.04,1739.59
173,2017-08-31,1739.08,1740.33
174,2017-09-01,1740.63,1739.65
175,2017-09-04,1739.74,1741.01
176,2017-09-05,1742.93,1744.57
177,2017-09-06,1745.19,1747.79
178,2017-09-07,1747.44,1750.0
179,2017-09-08,1751.23,1749.23
180,2017-09-11,1748.93,1748.77
181,2017-09-12,1747.95,1746.73
182,2017-09-13,1746.84,1746.2
183,2017-09-14,1745.71,1746.0
184,2017-09-15,1746.65,1746.16
185,2017-09-18,1745.62,1743.89
186,2017-09-19,1743.62,1739.18
187,2017-09-20,1737.57,1740.42
188,2017-09-21,1738.73,1738.22
189,2017-09-22,1738.37,1740.42
190,2017-09-25,1741.02,1743.83
191,2017-09-26,1743.87,1743.27
192,2017-09-27,1740.89,1740.53
193,2017-09-28,1738.48,1740.35
194,2017-09-29,1740.82,1739.29
195,2017-10-02,1738.09,1739.27
196,2017-10-03,1739.21,1738.94
197,2017-10-04,1740.13,1739.2
198,2017-10-05,1738.93,1738.69
199,2017-10-06,1737.97,1733.37
200,2017-10-09,1735.54,1734.24
201,2017-10-10,1733.92,1736.03
202,2017-10-11,1737.05,1738.82
203,2017-10-12,1741.1,1740.25
204,2017-10-13,1742.54,1744.2
205,2017-10-16,1744.52,1745.82
206,2017-10-17,1745.63,1744.85
207,2017-10-18,1745.33,1743.81
208,2017-10-19,1745.18,1745.17
209,2017-10-20,1743.27,1741.31
210,2017-10-23,1741.37,1742.34
211,2017-10-24,1741.73,1742.43
212,2017-10-25,1741.9,1740.82
213,2017-10-26,1740.68,1741.95
214,2017-10-27,1740.77,1742.76
215,2017-10-30,1744.45,1743.54
216,2017-10-31,1743.46,1742.87
218,2017-11-02,1741.35,1740.96
219,2017-11-03,1742.74,1741.43
220,2017-11-06,1742.88,1743.14
221,2017-11-07,1742.51,1744.05
222,2017-11-08,1745.25,1745.46
223,2017-11-09,1746.35,1746.24
224,2017-11-10,1744.19,1749.22
225,2017-11-13,1748.64,1746.14
226,2017-11-14,1745.02,1745.59
227,2017-11-15,1746.47,1746.59
228,2017-11-16,1746.6,1748.25
229,2017-11-17,1748.39,1747.38
230,2017-11-20,1747.34,1746.13
231,2017-11-21,1746.69,1747.09
232,2017-11-22,1748.19,1748.5
233,2017-11-23,1750.49,1753.66
234,2017-11-24,1753.32,1753.59
235,2017-11-27,1753.87,1752.56
236,2017-11-28,1752.86,1754.54
237,2017-11-29,1754.64,1753.08
238,2017-11-30,1752.14,1751.24
239,2017-12-01,1751.42,1751.56
240,2017-12-04,1750.44,1751.31
241,2017-12-05,1751.7,1754.31
242,2017-12-06,1755.8,1756.35
243,2017-12-07,1756.52,1756.45
244,2017-12-08,1755.8,1756.59
245,2017-12-11,1757.02,1758.73
246,2017-12-12,1758.71,1757.16
247,2017-12-13,1756.67,1757.31
248,2017-12-14,1758.24,1758.58
249,2017-12-15,1759.95,1758.61
250,2017-12-18,1758.06,1758.37
251,2017-12-19,1757.18,1753.83
252,2017-12-20,1752.92,1752.65
253,2017-12-21,1752.85,1754.36
254,2017-12-22,1754.64,1756.36
257,2017-12-27,1757.89,1757.78
258,2017-12-28,1758.12,1757.36
259,2017-12-29,1757.55,1757.58
