,dates,opening_values,closing_values
2,2018-01-03,1757.64,1759.57
3,2018-01-04,1759.4,1762.68
4,2018-01-05,1762.58,1765.61
5,2018-01-08,1765.23,1764.76
6,2018-01-09,1763.64,1761.43
7,2018-01-10,1759.29,1759.31
8,2018-01-11,1761.89,1758.65
9,2018-01-12,1758.94,1760.16
10,2018-01-15,1760.71,1761.03
11,2018-01-16,1762.38,1762.72
12,2018-01-17,1762.04,1761.96
13,2018-01-18,1761.51,1760.81
14,2018-01-19,1761.48,1761.48
15,2018-01-22,1761.19,1761.15
16,2018-01-23,1762.64,1762.24
17,2018-01-24,1761.62,1760.1
18,2018-01-25,1760.95,1758.26
19,2018-01-26,1759.74,1756.01
20,2018-01-29,1754.17,1754.63
21,2018-01-30,1756.33,1755.9
22,2018-01-31,1757.64,1757.55
23,2018-02-01,1753.83,1757.84
24,2018-02-02,1757.46,1755.54
25,2018-02-05,1755.94,1756.87
26,2018-02-06,1757.29,1757.65
27,2018-02-07,1757.53,1757.11
28,2018-02-08,1756.72,1754.36
29,2018-02-09,1755.2,1755.97
30,2018-02-12,1754.78,1757.18
31,2018-02-13,1758.64,1758.47
32,2018-02-14,1758.95,1759.45
33,2018-02-15,1758.71,1760.4
34,2018-02-16,1760.27,1762.39
35,2018-02-19,1762.01,1760.21
36,2018-02-20,1758.73,1759.99
37,2018-02-21,1760.93,1761.49
38,2018-02-22,1761.5,1763.54
39,2018-02-23,1764.12,1765.05
40,2018-02-26,1764.96,1766.26
41,2018-02-27,1766.41,1767.48
42,2018-02-28,1767.68,1769.15
43,2018-03-01,1770.33,1772.47
44,2018-03-02,1772.96,1774.46
45,2018-03-05,1774.27,1772.22
46,2018-03-06,1771.54,1771.82
47,2018-03-07,1772.03,1773.82
48,2018-03-08,1776.88,1777.42
49,2018-03-09,1777.11,1774.9
50,2018-03-12,1774.81,1775.68
51,2018-03-13,1774.92,1774.02
52,2018-03-14,1774.54,1776.62
53,2018-03-15,1777.02,1780.06
54,2018-03-16,1780.25,1781.01
55,2018-03-19,1780.2,1779.97
56,2018-03-20,1779.26,1777.11
57,2018-03-21,1777.43,1774.68
58,2018-03-22,1778.23,1781.27
59,2018-03-23,1781.21,1782.07
60,2018-03-26,1782.12,1782.48
61,2018-03-27,1782.8,1783.08
62,2018-03-28,1784.52,1784.03
63,2018-03-29,1784.23,1786.13
66,2018-04-03,1786.37,1786.13
67,2018-04-04,1785.58,1789.85
68,2018-04-05,1789.75,1789.75
69,2018-04-06,1790.38,1791.73
70,2018-04-09,1792.48,1794.57
71,2018-04-10,1794.98,1794.67
72,2018-04-11,1796.56,1796.02
73,2018-04-12,1797.74,1796.79
74,2018-04-13,1795.88,1793.27
75,2018-04-16,1792.93,1790.31
76,2018-04-17,1789.83,1792.03
77,2018-04-18,1793.03,1794.31
78,2018-04-19,1793.85,1792.49
79,2018-04-20,1791.66,1789.93
80,2018-04-23,1788.82,1788.95
81,2018-04-24,1790.37,1789.03
82,2018-04-25,1788.29,1788.21
83,2018-04-26,1790.98,1792.24
84,2018-04-27,1793.55,1793.31
85,2018-04-30,1792.85,1791.45
87,2018-05-02,1790.52,1786.39
89,2018-05-04,1788.87,1786.94
90,2018-05-07,1787.8,1788.22
91,2018-05-08,1787.2,1781.85
92,2018-05-09,1779.09,1780.95
93,2018-05-10,1782.76,1784.01
94,2018-05-11,1784.12,1784.29
95,2018-05-14,1782.84,1783.36
96,2018-05-15,1782.57,1779.79
97,2018-05-16,1781.65,1781.6
98,2018-05-17,1780.85,1780.06
99,2018-05-18,1780.3,1778.51
100,2018-05-21,1778.01,1779.27
101,2018-05-22,1779.93,1783.27
102,2018-05-23,1783.66,1784.16
103,2018-05-24,1785.72,1785.3
104,2018-05-25,1784.98,1785.97
105,2018-05-28,1787.18,1786.96
106,2018-05-29,1787.84,1784.37
107,2018-05-30,1783.79,1786.39
109,2018-06-01,1786.82,1787.86
110,2018-06-04,1788.35,1788.15
111,2018-06-05,1789.2,1787.46
112,2018-06-06,1787.33,1786.44
113,2018-06-07,1784.3,1784.65
114,2018-06-08,1783.0,1783.36
115,2018-06-11,1784.36,1784.1
116,2018-06-12,1784.61,1786.61
117,2018-06-13,1787.32,1786.77
118,2018-06-14,1786.43,1788.59
119,2018-06-15,1789.73,1787.39
120,2018-06-18,1787.45,1789.46
121,2018-06-19,1790.72,1789.89
122,2018-06-20,1790.04,1791.2
123,2018-06-21,1791.5,1793.92
124,2018-06-22,1792.94,1792.33
125,2018-06-25,1792.94,1791.94
126,2018-06-26,1791.09,1790.1
127,2018-06-27,1791.25,1791.03
128,2018-06-28,1790.28,1789.79
129,2018-06-29,1789.44,1790.6
130,2018-07-02,1789.86,1790.06
131,2018-07-03,1787.95,1786.18
132,2018-07-04,1785.99,1789.22
133,2018-07-05,1788.71,1791.2
134,2018-07-06,1791.73,1792.65
135,2018-07-09,1791.92,1792.26
136,2018-07-10,1792.02,1791.15
137,2018-07-11,1792.05,1793.15
138,2018-07-12,1793.41,1793.11
139,2018-07-13,1793.1,1792.97
140,2018-07-16,1793.29,1794.3
141,2018-07-17,1795.27,1797.74
142,2018-07-18,1797.81,1796.54
143,2018-07-19,1795.38,1796.82
144,2018-07-20,1797.18,1794.32
145,2018-07-23,1794.03,1794.39
146,2018-07-24,1793.64,1795.55
147,2018-07-25,1796.88,1797.38
148,2018-07-26,1796.74,1798.21
149,2018-07-27,1796.86,1797.06
150,2018-07-30,1797.04,1794.77
151,2018-07-31,1796.28,1796.29
152,2018-08-01,1797.25,1796.84
153,2018-08-02,1797.68,1798.76
154,2018-08-03,1799.32,1799.92
155,2018-08-06,1800.07,1800.38
156,2018-08-07,1800.98,1798.86
157,2018-08-08,1799.15,1799.41
158,2018-08-09,1801.02,1801.29
159,2018-08-10,1801.15,1798.81
160,2018-08-13,1798.55,1798.37
161,2018-08-14,1799.79,1798.71
163,2018-08-16,1799.76,1798.64
164,2018-08-17,1799.04,1799.89
165,2018-08-20,1800.11,1801.69
166,2018-08-21,1801.69,1800.96
167,2018-08-22,1801.49,1800.83
168,2018-08-23,1800.57,1799.18
169,2018-08-24,1799.12,1799.96
170,2018-08-27,1800.61,1800.55
171,2018-08-28,1800.79,1801.05
172,2018-08-29,1800.78,1800.04
173,2018-08-30,1800.98,1802.1
174,2018-08-31,1802.34,1800.35
175,2018-09-03,1800.27,1798.4
176,2018-09-04,1798.1,1798.12
177,2018-09-05,1797.45,1797.19
178,2018-09-06,1796.96,1795.79
179,2018-09-07,1795.4,1795.35
180,2018-09-10,1795.13,1796.23
181,2018-09-11,1795.71,1795.93
182,2018-09-12,1796.11,1798.19
183,2018-09-13,1798.37,1799.11
184,2018-09-14,1799.35,1798.98
185,2018-09-17,1799.65,1799.0
186,2018-09-18,1799.79,1800.34
187,2018-09-19,1800.87,1801.85
188,2018-09-20,1801.99,1801.1
189,2018-09-21,1801.02,1801.3
190,2018-09-24,1801.17,1799.74
191,2018-09-25,1799.47,1800.05
192,2018-09-26,1800.73,1802.17
193,2018-09-27,1803.88,1801.52
194,2018-09-28,1801.56,1801.97
195,2018-10-01,1801.79,1802.98
196,2018-10-02,1803.97,1802.98
197,2018-10-03,1803.39,1802.29
198,2018-10-04,1800.41,1800.2
199,2018-10-05,1797.51,1799.82
200,2018-10-08,1799.59,1799.56
