,dates,opening_values,closing_values
1,2020-01-02,1910.79,1912.16
2,2020-01-03,1914.52,1914.3
4,2020-01-07,1913.74,1908.15
5,2020-01-08,1907.94,1905.5
6,2020-01-09,1903.6,1902.95
7,2020-01-10,1903.93,1902.4
8,2020-01-13,1902.18,1898.08
9,2020-01-14,1899.37,1901.3
10,2020-01-15,1901.44,1903.56
11,2020-01-16,1904.02,1901.45
12,2020-01-17,1902.29,1899.31
13,2020-01-20,1899.23,1898.59
14,2020-01-21,1899.65,1901.32
15,2020-01-22,1902.53,1903.28
16,2020-01-23,1905.37,1904.38
17,2020-01-24,1903.15,1905.26
18,2020-01-27,1906.85,1907.41
19,2020-01-28,1907.87,1905.99
20,2020-01-29,1906.77,1907.88
21,2020-01-30,1909.93,1910.18
22,2020-01-31,1910.83,1913.58
23,2020-02-03,1915.05,1913.39
24,2020-02-04,1912.24,1911.53
25,2020-02-05,1911.05,1911.7
26,2020-02-06,1911.64,1914.22
27,2020-02-07,1917.09,1918.76
28,2020-02-10,1918.84,1919.06
29,2020-02-11,1918.14,1916.91
30,2020-02-12,1914.64,1913.79
31,2020-02-13,1913.21,1910.53
32,2020-02-14,1910.49,1912.41
33,2020-02-17,1911.13,1911.69
34,2020-02-18,1912.9,1913.61
35,2020-02-19,1913.75,1915.69
36,2020-02-20,1917.47,1916.95
37,2020-02-21,1919.02,1920.56
38,2020-02-24,1925.05,1926.02
39,2020-02-25,1927.55,1928.43
40,2020-02-26,1930.71,1931.18
41,2020-02-27,1934.77,1938.27
42,2020-02-28,1942.93,1938.3
43,2020-03-02,1939.09,1945.05
44,2020-03-03,1944.05,1943.07
45,2020-03-04,1950.56,1950.42
46,2020-03-05,1944.73,1946.93
47,2020-03-06,1949.96,1950.91
48,2020-03-09,1955.48,1963.78
49,2020-03-10,1953.02,1955.96
51,2020-03-12,1952.2,1951.83
52,2020-03-13,1951.97,1928.2
53,2020-03-16,1928.34,1928.29
54,2020-03-17,1928.44,1928.43
55,2020-03-18,1928.61,1928.62
56,2020-03-19,1929.03,1929.03
57,2020-03-20,1929.17,1929.42
58,2020-03-23,1930.15,1954.18
59,2020-03-24,1955.73,1961.66
60,2020-03-25,1953.65,1960.13
61,2020-03-26,1962.07,1960.36
62,2020-03-27,1962.82,1957.2
63,2020-03-30,1956.79,1960.21
64,2020-03-31,1959.92,1962.84
65,2020-04-01,1963.39,1960.54
66,2020-04-02,1957.95,1957.95
67,2020-04-03,1958.07,1964.16
68,2020-04-06,1962.17,1964.04
69,2020-04-07,1964.99,1966.22
70,2020-04-08,1966.34,1972.34
71,2020-04-09,1973.21,1977.61
74,2020-04-14,1978.79,1982.13
75,2020-04-15,1985.58,1986.58
76,2020-04-16,1986.13,1986.97
77,2020-04-17,1986.77,1984.44
78,2020-04-20,1984.19,1982.71
79,2020-04-21,1983.1,1989.72
80,2020-04-22,1990.15,1992.34
81,2020-04-23,1989.71,1988.81
82,2020-04-24,1988.85,1988.17
83,2020-04-27,1989.5,1988.29
84,2020-04-28,1986.91,1985.16
85,2020-04-29,1985.57,1985.26
86,2020-04-30,1984.78,1985.59
88,2020-05-04,1985.4,1984.58
89,2020-05-05,1982.72,1984.69
90,2020-05-06,1984.02,1981.6
91,2020-05-07,1981.18,1982.19
92,2020-05-08,1982.2,1981.27
93,2020-05-11,1981.37,1982.6
94,2020-05-12,1983.61,1988.8
95,2020-05-13,1990.01,1994.94
96,2020-05-14,1996.69,1998.34
97,2020-05-15,1998.89,1998.71
98,2020-05-18,1998.9,1997.49
99,2020-05-19,1995.32,1993.89
100,2020-05-20,1992.15,1992.66
101,2020-05-21,1992.56,1991.07
102,2020-05-22,1990.87,1988.38
103,2020-05-25,1989.75,1990.31
104,2020-05-26,1988.26,1989.85
105,2020-05-27,1992.1,1993.91
106,2020-05-28,1993.42,2014.51
107,2020-05-29,2015.49,2015.41
108,2020-06-01,2013.26,2009.36
109,2020-06-02,2010.51,2007.37
110,2020-06-03,2006.22,2005.49
111,2020-06-04,2003.96,2003.45
112,2020-06-05,2001.52,1998.53
113,2020-06-08,1996.93,1996.39
114,2020-06-09,1998.03,2001.1
115,2020-06-10,2001.37,2001.28
117,2020-06-12,2006.9,2004.89
118,2020-06-15,2006.33,2002.44
119,2020-06-16,2002.42,2001.73
120,2020-06-17,1999.63,1998.57
121,2020-06-18,1998.96,2001.57
122,2020-06-19,2001.59,2003.71
123,2020-06-22,2005.8,2005.8
124,2020-06-23,2006.73,2006.73
125,2020-06-24,2005.49,2006.95
126,2020-06-25,2008.57,2008.96
127,2020-06-26,2007.45,2007.2
128,2020-06-29,2007.98,2006.43
129,2020-06-30,2007.5,2009.2
130,2020-07-01,2008.21,2006.85
131,2020-07-02,2008.79,2010.46
132,2020-07-03,2011.81,2011.92
133,2020-07-06,2011.29,2010.6
134,2020-07-07,2011.32,2010.33
135,2020-07-08,2011.01,2011.86
136,2020-07-09,2011.02,2011.04
137,2020-07-10,2013.52,2012.43
138,2020-07-13,2012.76,2008.27
139,2020-07-14,2009.78,2009.11
140,2020-07-15,2009.85,2009.48
141,2020-07-16,2010.34,2011.47
142,2020-07-17,2012.23,2013.05
143,2020-07-20,2012.63,2011.8
144,2020-07-21,2011.42,2012.68
145,2020-07-22,2013.3,2013.76
146,2020-07-23,2013.49,2012.45
