,dates,opening_values,closing_values
0,2022-01-03,1832.64,1832.08
1,2022-01-04,1831.44,1831.44
2,2022-01-05,1832.09,1829.71
4,2022-01-07,1829.64,1824.84
5,2022-01-10,1822.0,1823.16
6,2022-01-11,1828.75,1828.66
7,2022-01-12,1826.02,1835.55
8,2022-01-13,1833.64,1840.63
9,2022-01-14,1839.41,1838.63
10,2022-01-17,1837.72,1837.47
11,2022-01-18,1834.88,1834.65
12,2022-01-19,1805.1,1840.31
13,2022-01-20,1843.76,1846.08
14,2022-01-21,1850.89,1850.8
15,2022-01-24,1846.83,1841.24
16,2022-01-25,1837.33,1846.32
17,2022-01-26,1841.64,1842.2
18,2022-01-27,1836.81,1836.18
19,2022-01-28,1834.24,1833.62
20,2022-01-31,1833.64,1828.17
21,2022-02-01,1825.37,1828.82
22,2022-02-02,1831.83,1831.42
23,2022-02-03,1830.52,1829.31
24,2022-02-04,1833.59,1840.16
25,2022-02-07,1838.11,1840.02
26,2022-02-08,1841.25,1840.9
27,2022-02-09,1845.89,1839.24
28,2022-02-10,1837.41,1837.46
29,2022-02-11,1836.98,1836.63
30,2022-02-14,1835.13,1829.07
31,2022-02-15,1828.77,1835.67
32,2022-02-16,1837.58,1839.04
33,2022-02-17,1836.98,1841.26
34,2022-02-18,1840.86,1844.37
35,2022-02-21,1840.42,1845.85
36,2022-02-22,1842.91,1840.87
37,2022-02-23,1838.43,1838.28
38,2022-02-24,1834.39,1828.16
39,2022-02-25,1826.66,1829.77
40,2022-02-28,1827.83,1822.5
41,2022-03-01,1827.93,1829.15
42,2022-03-02,1831.79,1826.94
43,2022-03-03,1821.77,1822.77
44,2022-03-04,1819.05,1805.81
46,2022-03-08,1778.53,1780.6
47,2022-03-09,1780.72,1765.98
48,2022-03-10,1763.59,1753.53
49,2022-03-11,1753.16,1755.42
50,2022-03-14,1750.91,1745.29
51,2022-03-15,1744.42,1758.05
52,2022-03-16,1756.84,1768.63
53,2022-03-17,1773.43,1771.77
54,2022-03-18,1773.4,1772.99
55,2022-03-21,1770.22,1759.68
56,2022-03-22,1759.38,1749.98
57,2022-03-23,1746.81,1747.5
58,2022-03-24,1743.77,1734.22
59,2022-03-25,1738.33,1731.97
60,2022-03-28,1727.73,1724.49
61,2022-03-29,1723.99,1743.78
62,2022-03-30,1743.9,1743.83
63,2022-03-31,1751.14,1746.17
64,2022-04-01,1741.34,1736.57
65,2022-04-04,1736.05,1734.22
66,2022-04-05,1730.75,1732.51
67,2022-04-06,1724.49,1720.28
68,2022-04-07,1724.32,1703.66
69,2022-04-08,1703.96,1688.96
70,2022-04-11,1689.08,1677.04
71,2022-04-12,1677.16,1683.69
72,2022-04-13,1684.33,1703.13
73,2022-04-14,1711.37,1698.64
76,2022-04-19,1690.87,1679.44
77,2022-04-20,1682.65,1690.83
78,2022-04-21,1687.88,1688.19
79,2022-04-22,1677.32,1678.24
80,2022-04-25,1692.42,1686.39
81,2022-04-26,1691.67,1695.8
82,2022-04-27,1692.44,1688.01
83,2022-04-28,1694.83,1686.29
84,2022-04-29,1677.84,1678.03
85,2022-05-02,1675.63,1674.18
87,2022-05-04,1668.89,1666.95
88,2022-05-05,1669.28,1669.42
89,2022-05-06,1662.45,1660.84
90,2022-05-09,1657.02,1653.27
91,2022-05-10,1650.31,1654.61
92,2022-05-11,1660.91,1657.88
93,2022-05-12,1663.42,1673.59
94,2022-05-13,1674.0,1670.5
95,2022-05-16,1670.14,1679.31
96,2022-05-17,1679.88,1685.01
97,2022-05-18,1688.72,1684.49
98,2022-05-19,1689.57,1691.2
99,2022-05-20,1688.96,1692.39
100,2022-05-23,1697.24,1691.21
101,2022-05-24,1688.27,1689.72
102,2022-05-25,1691.54,1689.79
103,2022-05-26,1690.84,1685.84
104,2022-05-27,1686.23,1682.16
105,2022-05-30,1677.13,1683.93
106,2022-05-31,1683.83,1682.22
107,2022-06-01,1680.67,1687.21
108,2022-06-02,1684.94,1680.96
109,2022-06-03,1680.67,1678.35
110,2022-06-06,1678.51,1680.11
111,2022-06-07,1681.14,1681.19
112,2022-06-08,1678.27,1672.6
113,2022-06-09,1673.48,1667.93
114,2022-06-10,1667.58,1656.14
115,2022-06-13,1656.26,1632.01
116,2022-06-14,1632.36,1627.4
117,2022-06-15,1625.31,1619.32
119,2022-06-17,1618.37,1618.22
120,2022-06-20,1616.1,1604.37
121,2022-06-21,1604.5,1624.86
122,2022-06-22,1625.18,1649.75
123,2022-06-23,1650.11,1667.92
124,2022-06-24,1668.13,1664.15
125,2022-06-27,1657.24,1646.36
127,2022-06-29,1659.08,1654.81
128,2022-06-30,1662.52,1665.87
129,2022-07-01,1676.39,1690.1
130,2022-07-04,1683.36,1683.89
131,2022-07-05,1684.43,1674.76
132,2022-07-06,1671.84,1672.57
133,2022-07-07,1666.96,1671.97
134,2022-07-08,1673.51,1678.9
135,2022-07-11,1687.84,1691.72
136,2022-07-12,1677.87,1680.42
137,2022-07-13,1676.12,1667.95
138,2022-07-14,1668.29,1667.38
139,2022-07-15,1677.62,1676.22
140,2022-07-18,1685.33,1682.64
141,2022-07-19,1681.09,1684.85
142,2022-07-20,1687.41,1690.45
143,2022-07-21,1693.2,1714.56
144,2022-07-22,1714.81,1721.09
145,2022-07-25,1736.77,1735.06
146,2022-07-26,1738.56,1742.63
147,2022-07-27,1738.32,1736.27
148,2022-07-28,1735.14,1736.79
149,2022-07-29,1734.08,1749.44
150,2022-08-01,1754.87,1759.87
151,2022-08-02,1762.19,1749.26
152,2022-08-03,1731.07,1734.08
153,2022-08-04,1737.7,1745.28
154,2022-08-05,1748.94,1754.42
155,2022-08-08,1761.83,1756.91
156,2022-08-09,1755.69,1751.82
157,2022-08-10,1755.13,1760.43
158,2022-08-11,1760.13,1767.45
159,2022-08-12,1762.56,1771.68
161,2022-08-16,1770.2,1762.47
162,2022-08-17,1753.34,1750.23
163,2022-08-18,1745.24,1745.72
164,2022-08-19,1734.02,1736.4
165,2022-08-22,1737.26,1726.74
166,2022-08-23,1723.26,1718.47
167,2022-08-24,1712.43,1714.18
168,2022-08-25,1719.88,1719.88
169,2022-08-26,1722.2,1717.92
170,2022-08-29,1709.94,1709.99
171,2022-08-30,1712.43,1723.11
172,2022-08-31,1729.02,1720.32
173,2022-09-01,1718.74,1721.57
174,2022-09-02,1722.68,1732.68
175,2022-09-05,1728.96,1727.59
176,2022-09-06,1724.88,1726.08
177,2022-09-07,1726.66,1733.04
178,2022-09-08,1730.89,1736.86
179,2022-09-09,1732.65,1739.86
180,2022-09-12,1742.56,1748.13
181,2022-09-13,1747.07,1748.11
182,2022-09-14,1745.37,1738.51
183,2022-09-15,1735.77,1734.91
184,2022-09-16,1726.78,1732.51
185,2022-09-19,1733.73,1732.52
186,2022-09-20,1728.16,1733.14
187,2022-09-21,1739.18,1736.95
188,2022-09-22,1734.33,1731.5
189,2022-09-23,1732.92,1723.76
190,2022-09-26,1710.31,1704.71
191,2022-09-27,1702.09,1701.53
192,2022-09-28,1699.73,1691.86
193,2022-09-29,1684.8,1679.65
194,2022-09-30,1685.08,1684.12
195,2022-10-03,1680.64,1690.03
196,2022-10-04,1701.42,1695.93
197,2022-10-05,1694.0,1692.33
198,2022-10-06,1691.9,1689.84
199,2022-10-07,1681.9,1678.25
200,2022-10-10,1680.72,1674.84
201,2022-10-11,1669.42,1655.12
202,2022-10-12,1648.81,1636.88
203,2022-10-13,1634.39,1650.97
204,2022-10-14,1667.7,1655.32
205,2022-10-17,1652.91,1643.2
206,2022-10-18,1643.33,1627.21
207,2022-10-19,1624.03,1616.67
208,2022-10-20,1611.56,1607.98
209,2022-10-21,1608.06,1598.49
210,2022-10-24,1598.87,1623.58
211,2022-10-25,1639.25,1641.26
212,2022-10-26,1644.69,1646.57
213,2022-10-27,1647.03,1649.08
214,2022-10-28,1648.38,1641.02
215,2022-10-31,1629.19,1625.07
