,dates,opening_values,closing_values
0,2023-01-02,1747.1,1752.6
1,2023-01-03,1754.2,1763.15
2,2023-01-04,1775.62,1776.0
3,2023-01-05,1777.1,1790.73
5,2023-01-09,1812.9,1812.27
6,2023-01-10,1808.44,1800.72
7,2023-01-11,1806.94,1808.4
8,2023-01-12,1813.72,1810.47
9,2023-01-13,1812.08,1804.19
10,2023-01-16,1795.37,1802.38
11,2023-01-17,1800.93,1804.65
12,2023-01-18,1808.85,1817.76
13,2023-01-19,1812.15,1811.78
14,2023-01-20,1804.94,1806.78
15,2023-01-23,1809.2,1803.89
16,2023-01-24,1801.27,1802.72
17,2023-01-25,1809.87,1811.49
18,2023-01-26,1811.96,1815.04
19,2023-01-27,1810.29,1817.58
20,2023-01-30,1815.04,1811.27
21,2023-01-31,1809.98,1806.67
22,2023-02-01,1811.54,1810.75
23,2023-02-02,1818.32,1824.26
24,2023-02-03,1830.35,1827.31
25,2023-02-06,1819.82,1815.59
26,2023-02-07,1813.82,1803.64
27,2023-02-08,1808.49,1809.93
28,2023-02-09,1814.46,1817.16
29,2023-02-10,1807.49,1804.46
30,2023-02-13,1798.89,1800.74
31,2023-02-14,1803.3,1800.85
32,2023-02-15,1795.39,1802.06
33,2023-02-16,1798.82,1789.54
34,2023-02-17,1783.51,1783.94
35,2023-02-20,1787.62,1780.49
36,2023-02-21,1774.11,1771.54
37,2023-02-22,1775.0,1779.45
38,2023-02-23,1778.77,1781.63
39,2023-02-24,1789.05,1783.55
40,2023-02-27,1782.36,1784.63
41,2023-02-28,1781.63,1787.57
42,2023-03-01,1783.67,1787.04
43,2023-03-02,1784.53,1778.39
44,2023-03-03,1783.02,1785.8
45,2023-03-06,1790.39,1791.65
46,2023-03-07,1796.0,1794.78
47,2023-03-08,1798.33,1800.26
48,2023-03-09,1800.15,1803.26
49,2023-03-10,1808.43,1810.12
50,2023-03-13,1817.62,1821.18
51,2023-03-14,1818.53,1812.08
52,2023-03-15,1810.28,1818.46
53,2023-03-16,1819.02,1825.28
54,2023-03-17,1822.28,1827.44
55,2023-03-20,1834.11,1830.62
56,2023-03-21,1827.13,1826.06
57,2023-03-22,1823.74,1824.8
58,2023-03-23,1831.28,1827.28
59,2023-03-24,1831.77,1827.3
60,2023-03-27,1820.0,1821.23
61,2023-03-28,1820.8,1820.38
62,2023-03-29,1821.74,1821.52
63,2023-03-30,1824.6,1822.46
64,2023-03-31,1824.22,1824.34
65,2023-04-03,1820.32,1824.42
66,2023-04-04,1823.66,1822.42
67,2023-04-05,1824.26,1823.6
68,2023-04-06,1826.09,1824.34
71,2023-04-11,1821.96,1820.21
72,2023-04-12,1819.8,1818.49
73,2023-04-13,1817.61,1817.83
74,2023-04-14,1818.13,1819.32
75,2023-04-17,1818.66,1819.66
76,2023-04-18,1817.42,1821.52
77,2023-04-19,1821.77,1820.06
78,2023-04-20,1821.64,1823.42
79,2023-04-21,1826.37,1826.53
80,2023-04-24,1829.04,1830.36
81,2023-04-25,1835.37,1836.4
82,2023-04-26,1838.39,1834.61
83,2023-04-27,1837.29,1834.91
84,2023-04-28,1837.41,1841.18
86,2023-05-02,1838.35,1845.31
88,2023-05-04,1844.77,1849.33
89,2023-05-05,1849.61,1849.22
90,2023-05-08,1848.21,1849.68
91,2023-05-09,1852.33,1848.83
92,2023-05-10,1848.97,1851.55
93,2023-05-11,1856.25,1856.46
94,2023-05-12,1854.44,1856.04
95,2023-05-15,1848.88,1848.31
96,2023-05-16,1847.41,1842.81
97,2023-05-17,1843.11,1843.86
98,2023-05-18,1841.12,1840.46
99,2023-05-19,1841.64,1841.84
100,2023-05-22,1842.29,1838.93
101,2023-05-23,1837.35,1836.69
102,2023-05-24,1837.24,1837.92
103,2023-05-25,1835.93,1833.65
104,2023-05-26,1831.45,1833.61
105,2023-05-29,1835.5,1839.46
106,2023-05-30,1842.89,1842.11
107,2023-05-31,1844.58,1844.61
108,2023-06-01,1844.6,1849.99
109,2023-06-02,1849.12,1849.07
110,2023-06-05,1847.97,1852.49
111,2023-06-06,1855.39,1852.58
112,2023-06-07,1854.57,1852.99
114,2023-06-09,1853.36,1855.54
115,2023-06-12,1853.03,1854.93
116,2023-06-13,1857.19,1853.25
117,2023-06-14,1853.11,1850.68
118,2023-06-15,1847.8,1848.9
119,2023-06-16,1847.23,1848.99
120,2023-06-19,1850.53,1850.58
121,2023-06-20,1852.65,1853.54
122,2023-06-21,1853.05,1853.69
123,2023-06-22,1856.29,1857.36
124,2023-06-23,1860.4,1861.62
