date,GDP_HU,GDP_SK,GDP_CZ,weg_CZ,weg_SK,weg_HU
2014-01-01,14294.259,18719.988,19890.92,.37597311,.35384044,.27018645
2015-01-01,12717.039,16390.883,17829.699,.37985945,.34920564,.27093488
2016-01-01,13104.699,16563.441,18575.232,.38503179,.34333092,.27163729
2017-01-01,14621.239,17585.197,20636.199,.39052176,.33278427,.27669397
2018-01-01,16425.205,19486.395,23424.48,.39477634,.32840717,.27681649
2019-01-01,16786.213,19381.592,23664.848,.39551729,.32393003,.28055272
2020-01-01,16125.609,19551.621,22992.879,.39190108,.33324671,.27485222
2021-01-01,18772.141,21782.855,26822.514,.39809299,.32329565,.27861136
2022-01-01,18463.209,21258.113,27638.373,.41031024,.31559101,.27409875
