,dates,opening_values,closing_values
1,2014-01-02,1500.68,1499.67
2,2014-01-03,1500.83,1498.09
4,2014-01-07,1499.15,1498.1
5,2014-01-08,1498.19,1499.15
6,2014-01-09,1499.02,1500.56
7,2014-01-10,1501.34,1504.36
8,2014-01-13,1505.06,1506.63
9,2014-01-14,1506.92,1505.47
10,2014-01-15,1505.4,1505.3
11,2014-01-16,1505.75,1507.08
12,2014-01-17,1508.09,1508.11
13,2014-01-20,1508.75,1508.51
14,2014-01-21,1507.9,1506.41
15,2014-01-22,1506.74,1506.88
16,2014-01-23,1506.84,1507.38
17,2014-01-24,1506.93,1504.0
18,2014-01-27,1501.33,1499.96
19,2014-01-28,1501.67,1502.18
20,2014-01-29,1504.02,1497.44
21,2014-01-30,1491.74,1491.74
22,2014-01-31,1493.11,1486.15
23,2014-02-03,1487.26,1488.22
24,2014-02-04,1491.18,1493.65
25,2014-02-05,1495.22,1494.89
26,2014-02-06,1496.53,1498.26
27,2014-02-07,1500.67,1500.99
28,2014-02-10,1501.79,1500.61
29,2014-02-11,1501.21,1498.09
30,2014-02-12,1498.81,1497.57
31,2014-02-13,1497.12,1496.91
32,2014-02-14,1497.17,1500.17
33,2014-02-17,1499.87,1501.16
34,2014-02-18,1501.13,1501.59
35,2014-02-19,1500.88,1499.34
36,2014-02-20,1498.75,1500.18
37,2014-02-21,1501.62,1504.19
38,2014-02-24,1505.73,1506.81
39,2014-02-25,1506.14,1506.72
40,2014-02-26,1506.84,1505.81
41,2014-02-27,1507.0,1508.13
42,2014-02-28,1508.31,1508.39
43,2014-03-03,1505.65,1505.65
44,2014-03-04,1505.27,1509.15
45,2014-03-05,1509.04,1517.05
46,2014-03-06,1519.07,1515.69
47,2014-03-07,1516.07,1513.76
48,2014-03-10,1512.8,1514.67
49,2014-03-11,1515.46,1513.79
50,2014-03-12,1513.15,1514.64
51,2014-03-13,1515.72,1513.86
52,2014-03-14,1511.51,1513.52
53,2014-03-17,1514.43,1515.35
54,2014-03-18,1516.77,1518.24
55,2014-03-19,1518.48,1517.31
56,2014-03-20,1514.17,1513.2
57,2014-03-21,1514.96,1515.62
58,2014-03-24,1515.75,1517.4
59,2014-03-25,1518.06,1516.64
60,2014-03-26,1516.34,1518.13
61,2014-03-27,1517.81,1518.7
62,2014-03-28,1520.54,1520.29
63,2014-03-31,1519.47,1519.4
64,2014-04-01,1520.16,1520.97
65,2014-04-02,1520.2,1519.45
66,2014-04-03,1519.36,1521.82
67,2014-04-04,1522.43,1525.87
68,2014-04-07,1527.75,1528.72
69,2014-04-08,1529.6,1529.76
70,2014-04-09,1528.22,1529.17
71,2014-04-10,1531.95,1531.54
72,2014-04-11,1531.5,1530.03
73,2014-04-14,1530.15,1529.72
74,2014-04-15,1530.12,1528.89
75,2014-04-16,1528.52,1526.64
76,2014-04-17,1527.29,1526.43
79,2014-04-22,1526.21,1526.43
80,2014-04-23,1526.01,1527.07
81,2014-04-24,1527.38,1527.97
82,2014-04-25,1527.04,1528.25
83,2014-04-28,1528.48,1528.84
84,2014-04-29,1528.85,1529.25
85,2014-04-30,1530.14,1533.77
87,2014-05-02,1534.51,1533.42
88,2014-05-05,1534.88,1534.68
89,2014-05-06,1534.9,1534.54
90,2014-05-07,1535.27,1538.1
91,2014-05-08,1539.98,1541.47
92,2014-05-09,1543.57,1540.93
93,2014-05-12,1541.04,1539.97
94,2014-05-13,1541.51,1543.66
95,2014-05-14,1544.52,1547.92
96,2014-05-15,1550.29,1547.51
97,2014-05-16,1545.75,1546.64
98,2014-05-19,1547.54,1546.18
99,2014-05-20,1545.16,1542.01
100,2014-05-21,1541.85,1547.56
101,2014-05-22,1549.56,1551.83
102,2014-05-23,1550.95,1552.8
103,2014-05-26,1552.5,1553.55
104,2014-05-27,1552.94,1553.19
105,2014-05-28,1552.86,1554.61
106,2014-05-29,1556.1,1556.42
107,2014-05-30,1554.7,1553.96
108,2014-06-02,1555.66,1555.07
109,2014-06-03,1554.56,1555.3
110,2014-06-04,1556.69,1557.49
111,2014-06-05,1559.17,1560.34
112,2014-06-06,1563.39,1567.43
113,2014-06-09,1568.92,1568.0
114,2014-06-10,1567.27,1565.5
115,2014-06-11,1563.8,1563.0
116,2014-06-12,1564.93,1566.57
117,2014-06-13,1566.4,1568.23
118,2014-06-16,1560.6,1564.94
119,2014-06-17,1567.32,1564.38
120,2014-06-18,1562.86,1565.8
122,2014-06-20,1563.68,1560.97
123,2014-06-23,1561.91,1564.84
124,2014-06-24,1565.31,1568.97
125,2014-06-25,1572.63,1572.92
126,2014-06-26,1574.22,1572.51
127,2014-06-27,1573.28,1572.63
128,2014-06-30,1573.05,1572.8
129,2014-07-01,1572.54,1573.41
130,2014-07-02,1573.93,1571.93
131,2014-07-03,1570.77,1571.68
132,2014-07-04,1573.62,1575.14
133,2014-07-07,1574.68,1576.3
134,2014-07-08,1576.99,1578.51
135,2014-07-09,1578.87,1576.61
136,2014-07-10,1578.51,1577.0
137,2014-07-11,1576.77,1576.12
138,2014-07-14,1576.49,1576.71
139,2014-07-15,1577.09,1573.88
140,2014-07-16,1575.04,1576.13
141,2014-07-17,1576.98,1578.23
142,2014-07-18,1578.29,1579.08
143,2014-07-21,1579.1,1578.53
144,2014-07-22,1578.99,1579.32
145,2014-07-23,1580.97,1585.59
146,2014-07-24,1585.31,1584.3
147,2014-07-25,1584.84,1585.72
