,date,rate_mom
0,2014-10-09,-0.5
1,2015-03-05,-0.5
2,2020-03-18,-0.5
3,2020-04-09,-0.5
4,2020-05-29,-0.4
5,2021-10-07,0.4
6,2021-11-04,0.75
7,2021-12-09,0.5
8,2022-01-05,0.5
9,2022-02-09,0.5
10,2022-03-09,0.75
11,2022-04-07,1.0
12,2022-05-06,0.75
13,2022-06-09,0.75
14,2022-07-08,0.5
15,2022-09-08,0.25
16,2022-10-06,0.0
17,2022-11-10,0.0
18,2022-12-08,0.0
19,2023-01-04,0.0
20,2023-02-08,0.0
21,2023-03-08,0.0
22,2023-04-05,0.0
23,2023-05-10,0.0
