,dates,opening_values,closing_values
1,2019-01-02,1844.44,1844.44
2,2019-01-03,1844.62,1841.91
3,2019-01-04,1841.79,1838.68
4,2019-01-07,1839.13,1838.53
5,2019-01-08,1837.35,1835.97
6,2019-01-09,1834.84,1835.47
7,2019-01-10,1835.58,1838.17
8,2019-01-11,1840.04,1843.86
9,2019-01-14,1845.72,1846.05
10,2019-01-15,1845.7,1847.03
11,2019-01-16,1844.75,1842.5
12,2019-01-17,1844.68,1841.45
13,2019-01-18,1840.03,1840.22
14,2019-01-21,1840.35,1839.91
15,2019-01-22,1840.76,1840.57
16,2019-01-23,1841.62,1841.56
17,2019-01-24,1840.01,1843.49
18,2019-01-25,1843.89,1843.51
19,2019-01-28,1843.18,1844.3
20,2019-01-29,1844.88,1845.98
21,2019-01-30,1845.51,1845.82
22,2019-01-31,1848.75,1849.08
23,2019-02-01,1848.81,1847.32
24,2019-02-04,1845.41,1844.8
25,2019-02-05,1845.49,1846.71
26,2019-02-06,1847.98,1847.15
27,2019-02-07,1848.22,1847.84
28,2019-02-08,1848.2,1848.93
29,2019-02-11,1848.95,1847.92
30,2019-02-12,1847.4,1847.91
31,2019-02-13,1848.74,1848.57
32,2019-02-14,1849.64,1850.0
33,2019-02-15,1850.61,1850.11
34,2019-02-18,1849.97,1850.0
35,2019-02-19,1849.97,1850.65
36,2019-02-20,1851.65,1853.42
37,2019-02-21,1852.79,1851.71
38,2019-02-22,1852.48,1852.05
39,2019-02-25,1845.99,1844.35
40,2019-02-26,1844.88,1845.28
41,2019-02-27,1842.43,1842.43
42,2019-02-28,1842.87,1839.78
43,2019-03-01,1840.03,1839.19
44,2019-03-04,1839.47,1840.7
45,2019-03-05,1840.39,1841.91
46,2019-03-06,1843.06,1844.09
47,2019-03-07,1843.84,1848.0
48,2019-03-08,1847.71,1847.4
49,2019-03-11,1847.1,1846.24
50,2019-03-12,1845.21,1846.55
51,2019-03-13,1847.21,1847.69
52,2019-03-14,1846.42,1846.67
53,2019-03-15,1847.01,1846.33
54,2019-03-18,1846.16,1846.8
55,2019-03-19,1847.09,1846.11
56,2019-03-20,1846.48,1846.92
57,2019-03-21,1849.44,1847.31
58,2019-03-22,1847.51,1850.77
59,2019-03-25,1850.33,1850.2
60,2019-03-26,1850.3,1848.93
61,2019-03-27,1849.12,1851.05
62,2019-03-28,1852.47,1851.49
63,2019-03-29,1851.5,1850.39
64,2019-04-01,1849.29,1848.69
65,2019-04-02,1848.52,1849.2
66,2019-04-03,1847.7,1847.88
67,2019-04-04,1848.45,1847.17
68,2019-04-05,1846.67,1847.79
69,2019-04-08,1848.15,1847.75
70,2019-04-09,1848.42,1848.59
71,2019-04-10,1848.99,1849.82
72,2019-04-11,1849.42,1849.56
73,2019-04-12,1849.83,1849.17
74,2019-04-15,1848.73,1850.51
75,2019-04-16,1851.72,1851.6
76,2019-04-17,1851.0,1851.46
77,2019-04-18,1852.12,1851.52
80,2019-04-23,1851.17,1850.88
81,2019-04-24,1851.21,1851.44
82,2019-04-25,1851.3,1849.98
83,2019-04-26,1850.53,1850.47
84,2019-04-29,1849.74,1848.76
85,2019-04-30,1848.33,1843.58
87,2019-05-02,1843.31,1842.16
89,2019-05-06,1842.71,1843.24
90,2019-05-07,1843.48,1845.44
91,2019-05-08,1845.79,1847.31
92,2019-05-09,1848.07,1848.91
93,2019-05-10,1849.54,1849.89
94,2019-05-13,1850.43,1853.55
95,2019-05-14,1852.32,1852.95
96,2019-05-15,1853.95,1854.21
97,2019-05-16,1853.13,1851.22
98,2019-05-17,1850.64,1851.3
99,2019-05-20,1851.17,1851.07
100,2019-05-21,1850.47,1850.86
101,2019-05-22,1850.69,1852.66
102,2019-05-23,1853.92,1856.01
103,2019-05-24,1856.3,1855.31
104,2019-05-27,1857.01,1857.01
105,2019-05-28,1857.92,1858.18
106,2019-05-29,1859.06,1860.48
107,2019-05-30,1859.93,1861.17
108,2019-05-31,1862.25,1865.17
109,2019-06-03,1866.67,1867.0
110,2019-06-04,1865.98,1867.56
111,2019-06-05,1868.38,1871.84
112,2019-06-06,1873.09,1874.79
113,2019-06-07,1874.98,1875.24
114,2019-06-10,1874.84,1872.88
115,2019-06-11,1873.64,1870.99
116,2019-06-12,1871.53,1872.23
117,2019-06-13,1873.81,1876.33
118,2019-06-14,1878.16,1879.16
119,2019-06-17,1878.46,1877.52
120,2019-06-18,1877.93,1881.02
121,2019-06-19,1881.27,1880.55
123,2019-06-21,1882.12,1879.48
124,2019-06-24,1879.79,1881.11
125,2019-06-25,1882.97,1883.59
126,2019-06-26,1882.82,1881.49
127,2019-06-27,1879.91,1880.55
128,2019-06-28,1879.02,1878.94
129,2019-07-01,1879.84,1881.39
130,2019-07-02,1882.08,1881.95
131,2019-07-03,1884.48,1884.89
132,2019-07-04,1885.03,1887.45
133,2019-07-05,1887.51,1886.18
134,2019-07-08,1887.47,1889.39
135,2019-07-09,1889.02,1891.7
136,2019-07-10,1889.83,1889.35
137,2019-07-11,1889.12,1887.81
138,2019-07-12,1885.47,1885.37
139,2019-07-15,1885.62,1888.09
140,2019-07-16,1888.22,1887.48
141,2019-07-17,1889.05,1888.12
142,2019-07-18,1889.36,1890.17
143,2019-07-19,1891.28,1892.93
144,2019-07-22,1893.36,1894.47
145,2019-07-23,1895.04,1897.26
146,2019-07-24,1898.8,1902.14
147,2019-07-25,1904.06,1900.59
148,2019-07-26,1901.24,1899.21
149,2019-07-29,1899.24,1898.18
150,2019-07-30,1896.85,1894.52
151,2019-07-31,1894.33,1895.53
152,2019-08-01,1893.32,1895.45
153,2019-08-02,1899.58,1900.48
154,2019-08-05,1902.66,1903.74
155,2019-08-06,1902.91,1900.06
156,2019-08-07,1901.09,1904.1
157,2019-08-08,1904.6,1904.6
158,2019-08-09,1905.04,1906.8
159,2019-08-12,1907.42,1907.98
160,2019-08-13,1909.86,1912.02
161,2019-08-14,1912.52,1918.12
163,2019-08-16,1919.01,1920.77
164,2019-08-19,1910.79,1910.79
165,2019-08-20,1913.33,1913.32
166,2019-08-21,1912.69,1908.63
167,2019-08-22,1907.33,1904.33
168,2019-08-23,1902.68,1905.05
169,2019-08-26,1908.1,1910.5
170,2019-08-27,1911.33,1916.7
171,2019-08-28,1919.18,1920.27
172,2019-08-29,1917.93,1915.02
173,2019-08-30,1911.6,1915.02
174,2019-09-02,1914.41,1914.2
175,2019-09-03,1915.99,1915.68
176,2019-09-04,1914.4,1912.01
177,2019-09-05,1911.58,1906.56
178,2019-09-06,1908.3,1906.04
179,2019-09-09,1903.52,1900.86
180,2019-09-10,1899.51,1897.05
181,2019-09-11,1895.44,1900.94
182,2019-09-12,1903.58,1905.38
183,2019-09-13,1901.81,1900.21
184,2019-09-16,1898.17,1899.96
185,2019-09-17,1899.29,1901.67
186,2019-09-18,1902.27,1904.14
187,2019-09-19,1901.9,1905.7
188,2019-09-20,1906.12,1906.63
189,2019-09-23,1905.79,1905.67
190,2019-09-24,1905.72,1905.73
191,2019-09-25,1907.26,1907.89
192,2019-09-26,1906.93,1908.72
193,2019-09-27,1909.8,1909.42
194,2019-09-30,1909.31,1910.01
195,2019-10-01,1907.78,1909.82
196,2019-10-02,1910.11,1910.03
197,2019-10-03,1911.9,1916.08
198,2019-10-04,1917.29,1917.61
199,2019-10-07,1918.86,1919.05
200,2019-10-08,1918.55,1918.64
201,2019-10-09,1917.92,1917.94
202,2019-10-10,1917.25,1915.19
203,2019-10-11,1916.23,1911.61
204,2019-10-14,1913.84,1912.47
205,2019-10-15,1912.94,1913.67
206,2019-10-16,1913.25,1910.84
207,2019-10-17,1911.72,1911.59
208,2019-10-18,1911.2,1910.43
209,2019-10-21,1909.46,1910.08
210,2019-10-22,1910.72,1913.39
211,2019-10-23,1914.72,1915.03
212,2019-10-24,1913.73,1914.89
213,2019-10-25,1914.32,1913.97
214,2019-10-28,1913.11,1912.24
215,2019-10-29,1913.48,1913.54
216,2019-10-30,1912.97,1913.02
217,2019-10-31,1915.58,1916.69
219,2019-11-04,1914.32,1917.13
220,2019-11-05,1915.22,1914.72
221,2019-11-06,1914.72,1914.11
222,2019-11-07,1914.34,1910.18
223,2019-11-08,1908.04,1906.47
225,2019-11-12,1910.64,1908.02
226,2019-11-13,1909.42,1911.1
227,2019-11-14,1912.55,1912.73
228,2019-11-15,1913.65,1909.79
229,2019-11-18,1909.07,1910.4
230,2019-11-19,1909.85,1909.33
231,2019-11-20,1913.36,1912.26
232,2019-11-21,1912.82,1911.39
233,2019-11-22,1911.03,1912.51
234,2019-11-25,1912.16,1913.07
235,2019-11-26,1913.7,1916.55
236,2019-11-27,1916.1,1917.21
237,2019-11-28,1918.27,1916.93
238,2019-11-29,1917.5,1916.89
239,2019-12-02,1913.41,1914.41
240,2019-12-03,1914.3,1917.9
241,2019-12-04,1917.67,1915.91
242,2019-12-05,1915.54,1916.04
243,2019-12-06,1916.74,1917.53
244,2019-12-09,1918.54,1919.08
245,2019-12-10,1917.81,1917.48
246,2019-12-11,1917.72,1917.7
247,2019-12-12,1918.56,1916.38
248,2019-12-13,1914.34,1916.13
249,2019-12-16,1916.01,1916.21
250,2019-12-17,1916.64,1916.97
251,2019-12-18,1916.95,1915.38
252,2019-12-19,1914.07,1913.08
253,2019-12-20,1913.06,1913.18
254,2019-12-23,1914.49,1913.92
258,2019-12-27,1915.1,1914.33
259,2019-12-30,1914.47,1912.18
